               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  82,            0.022904,           0.0098755,           0.0098221,             0.51749,             0.88889,             0.61576,             0.48953,            0.010987,           0.0025231,            0.013901,           0.0083962,           0.0083962,           0.0083962
                  83,            0.024459,           0.0099639,           0.0099057,             0.52181,             0.92507,              0.5728,             0.40294,            0.011623,           0.0032605,             0.01615,           0.0083764,           0.0083764,           0.0083764
                  84,            0.026298,           0.0098779,            0.008703,             0.54464,             0.90832,             0.59975,             0.45359,           0.0092272,           0.0027866,            0.031232,           0.0083566,           0.0083566,           0.0083566
                  85,            0.024397,            0.010418,           0.0096122,             0.61742,             0.77778,             0.67693,             0.52066,            0.010338,           0.0030872,             0.01239,           0.0083368,           0.0083368,           0.0083368
                  86,            0.023648,            0.010317,            0.010966,             0.55421,             0.66667,             0.70394,             0.48445,            0.017747,           0.0038409,           0.0090046,            0.008317,            0.008317,            0.008317
                  87,            0.024207,            0.011596,           0.0091942,             0.53792,             0.83333,             0.67527,             0.51749,             0.01111,           0.0031269,            0.010664,           0.0082972,           0.0082972,           0.0082972
                  88,            0.022396,           0.0095439,           0.0096839,             0.52819,             0.78746,             0.63898,                0.47,            0.012113,           0.0041453,            0.011358,           0.0082774,           0.0082774,           0.0082774
                  89,            0.026965,            0.011852,            0.012253,             0.51581,                   1,             0.60074,             0.47104,            0.011918,           0.0032371,           0.0099724,           0.0082576,           0.0082576,           0.0082576
                  90,            0.024363,            0.010528,           0.0094117,             0.49837,                   1,             0.63542,             0.48923,            0.014587,           0.0032156,            0.011685,           0.0082378,           0.0082378,           0.0082378
                  91,             0.02429,           0.0096755,            0.011316,             0.56245,             0.69197,             0.65956,             0.43828,            0.015251,           0.0048296,           0.0085823,            0.008218,            0.008218,            0.008218
                  92,            0.023732,           0.0096763,           0.0090193,              0.6911,             0.72222,             0.71812,             0.55267,            0.011234,           0.0033106,              0.0102,           0.0081982,           0.0081982,           0.0081982
                  93,            0.021753,            0.010084,            0.014082,             0.52115,             0.99209,             0.60441,             0.48444,            0.014264,           0.0031086,           0.0087311,           0.0081784,           0.0081784,           0.0081784
                  94,            0.023206,            0.010333,           0.0086072,             0.60857,              0.9375,             0.75943,             0.61445,            0.010152,           0.0026615,           0.0066679,           0.0081586,           0.0081586,           0.0081586
                  95,            0.027955,            0.011859,           0.0082485,             0.66421,             0.78125,             0.78235,              0.5518,            0.015298,           0.0034286,            0.026599,           0.0081388,           0.0081388,           0.0081388
                  96,            0.022813,            0.010888,            0.014084,             0.48646,             0.78778,              0.5669,             0.46517,           0.0088378,           0.0026115,            0.022974,            0.008119,            0.008119,            0.008119
                  97,            0.019681,            0.010443,            0.012098,             0.55888,             0.72222,              0.5913,             0.47138,             0.01076,           0.0025564,            0.011797,           0.0080992,           0.0080992,           0.0080992
                  98,            0.023859,           0.0098378,           0.0091543,              0.5104,             0.77778,             0.57786,             0.42176,           0.0094419,           0.0028532,             0.01245,           0.0080794,           0.0080794,           0.0080794
                  99,            0.022187,            0.010817,             0.01152,             0.54904,             0.87405,             0.65379,             0.48928,            0.010176,           0.0030833,            0.018298,           0.0080596,           0.0080596,           0.0080596
